"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ACC",10,1864,1867.75,18640,18677.5,37.5,0.2,-0.13,""
"AUBANK",20,729.5,948.15,14590,18963,4373,29.97,0.43,""
"AXISBANK",42,1221.29,1289.8,51294,54171.6,2877.6,5.61,1.86,""
"BANKBARODA",64,232.4,288.4,14873.6,18457.6,3584,24.1,0.35,""
"BANKINDIA",113,111.89,148.54,12643.57,16785.02,4141.45,32.76,0.9,""
"CANBK",261,123.82,150.41,32316.27,39257.01,6940.74,21.48,1.16,""
"CUB",220,231.8,277.08,50995.01,60957.6,9962.59,19.54,1.19,""
"FEDERALBNK",214,235.35,255.65,50364.7,54709.1,4344.4,8.63,-0.13,""
"GICRE",148,380.41,390.3,56300.35,57764.4,1464.05,2.6,2.13,""
"GPPL",91,176,179.75,16016,16357.25,341.25,2.13,0.5,""
"HDFCBANK",23,999.65,1004.05,22991.95,23093.15,101.2,0.44,1.43,""
"ICICIBANK",39,1377.03,1370.9,53704,53465.1,-238.9,-0.44,0.95,""
"IDBI",409,100.38,101.75,41057.2,41615.75,558.55,1.36,0.49,""
"INDIANB",42,773.39,887.5,32482.2,37275,4792.8,14.76,1.65,""
"INDUSTOWER",86,376.6,405.65,32387.6,34885.9,2498.3,7.71,0.51,""
"KARURVYSYA",183,241.31,251.65,44159.56,46051.95,1892.39,4.29,1.49,""
"LICI",18,916,898.05,16488,16164.9,-323.1,-1.96,0.04,""
"MAHABANK",854,54.88,59.91,46863.6,51163.14,4299.54,9.17,0.5,""
"MAHSEAMLES",28,565,577.3,15820,16164.4,344.4,2.18,-1.32,""
"MUTHOOTFIN",3,3384.1,3701.5,10152.3,11104.5,952.2,9.38,0.53,""
"NATIONALUM",164,263.36,256.72,43190.92,42102.08,-1088.84,-2.52,1.08,""
"PNB",345,107.12,124.65,36955.1,43004.25,6049.15,16.37,1.3,""
"SBIN",42,852.09,987.7,35787.6,41483.4,5695.8,15.92,0.42,""
"UJJIVANSFB",874,48.77,56,42622.92,48944,6321.08,14.83,3.97,""
"UNIONBANK",309,145.75,155.52,45037.29,48055.68,3018.39,6.7,1.75,""
