Symbol,Instrument,Qty,Avg cost,LTP,Cur val,P&L,Day change,Sector
AUBANK,AUBANK (NSE),20,729.5,935.85,18717.0,4127.0,10.75,Banking
AUROPHARMA,AUROPHARMA (BSE),0,1142.5,1213.2,0.0,0.0,18.9,Banking
AXISBANK,AXISBANK (NSE),28,1196.43,1270.4,35571.2,2071.2,1.4,Banking
BANKBARODA,BANKBARODA (NSE),64,232.4,284.65,18217.6,3344.0,2.75,Banking
BANKINDIA,BANKINDIA (BSE),113,111.89,146.5,16554.5,3910.93,0.55,Banking
CANBK,CANBK (NSE),261,118.62,147.81,38578.41,7618.57,1.14,Banking
CUB,CUB (BSE),220,231.8,277.2,60984.0,9988.99,5.65,Banking
FEDERALBNK,FEDERALBNK (NSE),115,221.1,254.01,29211.15,3784.55,5.84,Banking
GICRE,GICRE (BSE),148,380.41,381.2,56417.6,117.25,1.8,Banking
GPPL,GPPL (NSE),91,176.0,180.34,16410.94,394.94,0.46,Banking
HDFCBANK,HDFCBANK (NSE),23,999.65,995.05,22886.15,-105.8,-4.1,Banking
ICICIBANK,ICICIBANK (NSE),31,1378.06,1366.5,42361.5,-358.5,-1.9,Banking
IDBI,IDBI (NSE),409,100.38,101.35,41452.15,394.95,2.42,Banking
INDIANB,INDIANB (NSE),42,773.39,866.9,36409.8,3927.6,12.15,Banking
INDUSINDBK,INDUSINDBK (NSE),0,826.2,831.35,0.0,0.0,-4.7,Banking
INDUSTOWER,INDUSTOWER (NSE),86,376.6,401.0,34486.0,2098.4,0.9,Banking
KARURVYSYA,KARURVYSYA (BSE),183,241.31,248.2,45420.6,1261.04,4.25,Banking
LICI,LICI (NSE),18,916.0,897.25,16150.5,-337.5,2.2,Banking
MAHABANK,MAHABANK (BSE),854,54.88,59.05,50428.7,3565.1,0.8,Banking
MAHSEAMLES,MAHSEAMLES (NSE),28,565.0,565.0,15820.0,0.0,-6.05,Banking
MUTHOOTFIN,MUTHOOTFIN (NSE),3,3384.1,3679.4,11038.2,885.9,65.0,Banking
NATIONALUM,NATIONALUM (NSE),164,263.36,253.98,41652.72,-1538.2,2.92,Banking
PNB,PNB (NSE),345,107.12,122.62,42303.9,5348.8,0.87,Banking
SBIN,SBIN (NSE),42,852.09,985.5,41391.0,5603.4,14.9,Banking
UJJIVANSFB,UJJIVANSFB (BSE),874,48.77,53.46,46724.04,4101.12,-0.38,Banking
UNIONBANK,UNIONBANK (NSE),309,145.75,151.86,46924.74,1887.45,0.87,Banking
ACC,ACC (NSE),10,1864.0,1864.9,18649.0,9.0,0.9,Banking
